"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1,1,3267.97586,16264.43753,256.74604,NaN,NaN,NaN,1097.22209,NaN
2,1,8178.13406,29837.72152,128.11227,NaN,NaN,NaN,264.70129,NaN
3,1,11079.07549,5413.41109,109.19321,NaN,NaN,NaN,1623.35335,NaN
4,1,11283.7347,29808.05228,73.3443,NaN,NaN,NaN,246.57427,NaN
5,1,16576.42641,29922.51254,131.19922,NaN,NaN,NaN,385.63859,NaN
6,1,17551.46519,33187.73661,92.00999,NaN,NaN,NaN,591.86151,NaN
7,1,17887.76416,33847.47054,122.21061,NaN,NaN,NaN,339.80227,NaN
8,1,20632.58147,30137.73775,128.43265,NaN,NaN,NaN,316.31505,NaN
9,1,21883.79257,39502.32979,121.44538,NaN,NaN,NaN,236.94983,NaN
10,1,24002.87527,31913.95069,234.25747,NaN,NaN,NaN,716.18662,NaN
11,1,24645.66335,36759.64949,195.73864,NaN,NaN,NaN,769.33273,NaN
12,1,25539.50518,28411.6825,125.66375,NaN,NaN,NaN,274.9318,NaN
13,1,32241.52344,25346.64394,140.20597,NaN,NaN,NaN,501.81,NaN
14,1,34255.29246,4458.23574,122.89488,NaN,NaN,NaN,475.37001,NaN
15,1,34469.47176,5686.46783,117.5276,NaN,NaN,NaN,351.55829,NaN
16,1,36016.44241,19528.8237,117.70308,NaN,NaN,NaN,562.3554,NaN
17,1,37620.17392,16574.57221,310.96667,NaN,NaN,NaN,593.52022,NaN
18,1,38141.49203,28521.64635,145.687,NaN,NaN,NaN,428.97145,NaN
19,1,40336.73047,27545.63421,124.70449,NaN,NaN,NaN,376.40766,NaN
